ResponseID,A1_Role,A2_Experience,A3_Involvement,A4_Projects,B1_Size,B2_Vendor,B3_Approach,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,I1,I2,I3,I4_Score,J1_Mistakes,J2_Success,J3_Failed,J4_Features,J5_Comments
33,Trade professional (importer / exporter / customs broker),6-10 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Risk management / risk scoring system; E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,"Mainly agile / iterative (short sprints, incremental delivery)",3,2,1,3,4,4,3,2,2,3,3,4,3,3,3,4,4,5,3,5,4,4,3,5,5,4,5,4,4,5,4,5,4,2,1,3,4,4,3,3,6,Inadequate change management. New systems are introduced without proper communication about benefits and usage procedures.,"Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","Document management system never adopted by officers because interface was too complex, no adequate training provided, and system didn't match actual document workflow. System exists but nobody uses it.","Clear acceptance criteria for each iteration, user-centered design workshops with officers and traders, vendor lock-in protection through source code escrow, post-implementation monitoring framework, agile procurement mechanisms.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
34,Trade professional (importer / exporter / customs broker),More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Large (multi-year, national rollout)",Shared - mixed internal and external responsibility,Hybrid approach (combination of structured phases and agile iterations),3,3,3,2,3,2,1,3,1,2,3,4,3,4,5,3,3,3,3,4,5,4,4,4,5,4,5,5,4,4,5,5,4,2,4,3,5,4,4,3,7,Frequent system downtimes and technical glitches disrupt business operations. Systems are not properly tested before deployment.,"Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Clear acceptance criteria for each iteration, user-centered design workshops with officers and traders, vendor lock-in protection through source code escrow, post-implementation monitoring framework, agile procurement mechanisms.","Framework should include specific provisions for AI/ML projects: data quality assessment, model explainability requirements, bias testing, and performance monitoring. These are different from traditional ICT projects."
35,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as core project team member",AI / machine-learning-based analytics for targeting or anomaly detection; Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,No formal method was specified,3,2,2,2,2,4,2,2,3,3,2,3,3,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,3,3,3,4,4,2,2,2,4,5,4,4,6,"Poor data quality assessment at the beginning. Projects start without understanding existing data gaps, leading to AI systems that cannot function properly.","E-declaration system for specific commodity category succeeded because of limited scope initially, strong project governance with clear decision-makers, and effective change management communication.","Automated classification system failed because AI model was trained on foreign data that didn't match Bangladesh tariff structure, poor accuracy led to disputes, and system was eventually abandoned.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
36,ICT / IT professional (vendor / private firm),11-15 years,"Yes, as core project team member",AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal; Risk management / risk scoring system; E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),3,3,4,3,4,3,4,4,3,3,3,2,3,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,3,3,3,5,4,3,3,6,"Lengthy procurement and approval processes delay projects significantly. By the time approval comes, technology requirements have changed.","Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Blockchain-based trade finance system was abandoned after 18 months because technology was too advanced for current infrastructure, vendors couldn't deliver promised features, and traders saw no benefit over existing systems.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
37,Other NBR/customs official,11-15 years,"Yes, as core project team member",Customs automation system (e.g. ASYCUDA / national system); National single window / trade portal; Risk management / risk scoring system,"Large (multi-year, national rollout)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",4,3,2,3,2,3,2,2,2,3,2,2,2,4,5,5,5,5,5,3,5,3,4,5,4,5,5,5,5,5,4,5,5,3,3,4,5,3,2,2,6,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Automated invoice verification module worked because it was piloted with 5 large importers first, their feedback was incorporated, and then gradually expanded to all traders over 8 months.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Traders and C&F agents should be involved much earlier in projects, not just at testing phase. Their input during requirements and design phases would prevent many usability issues that cause low adoption rates."
38,Other NBR/customs official,More than 15 years,"Yes, as project manager / team leader",National single window / trade portal; E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; Customs automation system (e.g. ASYCUDA / national system),"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,No formal method was specified,2,2,2,1,2,1,3,2,2,1,2,3,1,4,5,4,4,4,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,2,1,2,4,3,3,3,5,"Poor data quality assessment at the beginning. Projects start without understanding existing data gaps, leading to AI systems that cannot function properly.","Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","AI-based anomaly detection system had high false positive rates, vendor abandoned project mid-way due to payment delays, and customs lacked technical capacity to maintain it. System is now non-functional.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.",Officer training in modern project management methods is critical. Many officers managing ICT projects have no formal PM training. Also need better procurement mechanisms that allow iterative development.
39,ICT / IT professional (vendor / private firm),6-10 years,"Yes, as core project team member",E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; Risk management / risk scoring system,"Small (less than 6 months, small project team)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),4,3,4,3,3,4,3,4,3,3,2,3,3,4,3,4,4,4,4,5,4,5,5,5,4,5,4,5,5,5,5,5,5,2,4,2,5,3,2,3,7,Lack of dedicated project champion from customs side. Vendor teams struggle to get timely decisions and approvals.,"Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
40,Other NBR/customs official,More than 15 years,"Yes, as core project team member",E-payment / e-declaration systems; Risk management / risk scoring system; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,No formal method was specified,3,3,3,2,2,1,2,3,2,3,3,3,3,4,4,5,5,4,4,4,4,5,5,4,5,4,5,5,5,4,4,4,5,4,4,3,4,2,3,2,7,"Lack of project documentation in Bangla. All technical documentation is in English, making it inaccessible to most officers.","Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
41,Trade professional (importer / exporter / customs broker),6-10 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",E-payment / e-declaration systems; Risk management / risk scoring system,"Large (multi-year, national rollout)",Minimal - mostly developed and managed internally,No formal method was specified,2,1,2,3,1,1,1,2,3,4,3,3,5,4,4,4,3,4,3,4,3,4,5,5,5,5,5,3,3,3,5,2,5,3,3,3,5,4,4,4,7,"Ignoring user needs and feedback. Systems are designed without understanding actual trade workflows, making them difficult to use.","Online duty calculator tool was well-received because it was simple, focused on single function, and included extensive help documentation in Bangla. Traders found it immediately useful.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Framework should include specific provisions for AI/ML projects: data quality assessment, model explainability requirements, bias testing, and performance monitoring. These are different from traditional ICT projects."
42,BCS (Customs & VAT) cadre officer,6-10 years,"Yes, as core project team member",Risk management / risk scoring system; Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems,"Small (less than 6 months, small project team)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",3,3,1,3,3,2,2,3,2,3,2,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,5,2,3,3,4,2,3,3,6,Ignoring user feedback during implementation. End-user concerns are dismissed as resistance to change rather than legitimate usability issues.,"Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
43,ICT / IT professional (vendor / private firm),0-5 years,"Yes, as core project team member",Customs automation system (e.g. ASYCUDA / national system); Risk management / risk scoring system; E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,2,3,2,3,3,4,2,1,4,4,3,3,4,4,4,5,5,4,4,4,3,4,4,4,3,4,4,4,4,5,4,4,4,2,2,3,5,4,4,4,8,Inadequate budget allocation for proper testing and quality assurance. Projects are rushed to meet unrealistic deadlines.,"Electronic bond management system succeeded at Dhaka Customs House due to strong support from Commissioner, weekly progress reviews, and vendor team that understood customs procedures well.","E-payment gateway integration failed due to poor system integration, security concerns, and lack of coordination with banks. Traders couldn't complete payments reliably, causing business disruption.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
44,Trade professional (importer / exporter / customs broker),6-10 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",AI / machine-learning-based analytics for targeting or anomaly detection; Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems,"Small (less than 6 months, small project team)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,1,3,4,3,3,4,3,2,2,3,3,3,4,4,3,2,4,3,4,4,5,4,4,4,3,5,5,4,4,5,5,5,2,1,2,5,3,3,3,7,Frequent system downtimes and technical glitches disrupt business operations. Systems are not properly tested before deployment.,"Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Co-creation workshops mandatory in requirements phase, iterative pilot deployments at single location first, formal change management plan with training budget, dedicated product owner from customs side, regular demonstrations to key stakeholders.",Officer training in modern project management methods is critical. Many officers managing ICT projects have no formal PM training. Also need better procurement mechanisms that allow iterative development.
45,BCS (Customs & VAT) cadre officer,6-10 years,"Yes, as project manager / team leader",National single window / trade portal; E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,3,2,2,2,1,2,4,3,3,3,3,2,5,5,5,5,5,5,5,4,5,4,4,5,4,5,4,5,4,4,5,4,3,2,2,4,3,4,3,6,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Online duty calculator tool was well-received because it was simple, focused on single function, and included extensive help documentation in Bangla. Traders found it immediately useful.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
46,Trade professional (importer / exporter / customs broker),More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Risk management / risk scoring system; National single window / trade portal; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection,"Medium (6-18 months, multiple stakeholders)",Shared - mixed internal and external responsibility,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,2,3,3,1,2,1,2,3,3,3,3,2,4,5,5,5,5,5,5,5,4,2,3,3,3,4,5,3,4,3,4,4,2,3,2,4,3,4,3,5,"Lack of adequate training for end-users. Systems are deployed but traders and C&F agents are not properly trained, leading to errors and frustration.","Single window integration for textile imports succeeded because of co-creation workshops with traders, adequate training provided before rollout, and effective helpdesk support during initial months.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Pilot-first approach mandatory, customs domain expert in vendor team, regular stakeholder forums, clear acceptance criteria per iteration, post-deployment performance monitoring, institutional memory documentation.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
47,BCS (Customs & VAT) cadre officer,0-5 years,"Yes, as core project team member",National single window / trade portal; AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems; Risk management / risk scoring system,"Large (multi-year, national rollout)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,2,3,3,2,2,3,2,4,2,2,2,3,4,5,5,4,3,5,4,5,4,3,4,3,3,5,4,5,5,3,5,4,1,2,2,5,2,2,3,7,"Lack of customs domain expertise in vendor project teams. Technical staff don't understand customs procedures, leading to mismatched solutions.","Automated invoice verification module worked because it was piloted with 5 large importers first, their feedback was incorporated, and then gradually expanded to all traders over 8 months.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
48,ICT / IT professional (vendor / private firm),6-10 years,"Yes, as core project team member",E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; Risk management / risk scoring system,"Large (multi-year, national rollout)",Shared - mixed internal and external responsibility,Hybrid approach (combination of structured phases and agile iterations),3,2,4,4,4,4,3,4,2,4,3,4,4,4,4,3,3,5,3,5,4,3,4,3,3,4,5,4,5,5,5,5,4,3,3,3,3,4,4,4,8,"Insufficient technical capacity on customs side to understand and validate vendor deliverables, leading to acceptance of substandard work.","Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Document management system never adopted by officers because interface was too complex, no adequate training provided, and system didn't match actual document workflow. System exists but nobody uses it.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
49,ICT / IT professional (vendor / private firm),More than 15 years,"Yes, as project manager / team leader",AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems; National single window / trade portal,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,5,5,4,5,5,4,5,4,4,4,4,3,3,4,4,4,5,4,4,3,4,5,5,5,4,5,5,5,5,5,4,5,5,3,2,4,4,4,5,4,7,Lack of dedicated project champion from customs side. Vendor teams struggle to get timely decisions and approvals.,"E-declaration system for specific commodity category succeeded because of limited scope initially, strong project governance with clear decision-makers, and effective change management communication.","Comprehensive cargo tracking system failed because GPS devices were not properly maintained, data transmission was unreliable, and officers didn't trust the system preferring manual verification methods.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
50,Other NBR/customs official,0-5 years,"Yes, as project manager / team leader",National single window / trade portal; Customs automation system (e.g. ASYCUDA / national system),"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,No formal method was specified,2,4,3,3,3,2,3,2,1,2,1,3,1,3,4,3,3,4,4,4,4,3,4,4,4,4,5,5,4,5,4,5,5,1,1,1,3,2,3,3,5,"Unrealistic timelines and budgets set by senior management without consulting technical teams, leading to rushed implementations.","Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
51,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as project manager / team leader",Risk management / risk scoring system; AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems; National single window / trade portal,"Large (multi-year, national rollout)",Minimal - mostly developed and managed internally,No formal method was specified,2,2,2,3,3,1,3,3,2,3,1,1,3,5,5,5,4,5,5,4,4,4,4,3,4,3,4,5,5,5,5,5,5,1,3,3,5,3,3,3,5,"Inadequate stakeholder consultation during requirements phase. Field officers and traders are consulted too late, resulting in systems that don't match actual workflows.","Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Comprehensive cargo tracking system failed because GPS devices were not properly maintained, data transmission was unreliable, and officers didn't trust the system preferring manual verification methods.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Traders and C&F agents should be involved much earlier in projects, not just at testing phase. Their input during requirements and design phases would prevent many usability issues that cause low adoption rates."
52,Trade professional (importer / exporter / customs broker),11-15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",National single window / trade portal; Customs automation system (e.g. ASYCUDA / national system),"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,"Mainly agile / iterative (short sprints, incremental delivery)",2,2,2,2,2,3,3,2,3,3,3,3,3,4,4,3,4,4,3,4,5,3,4,4,4,5,4,4,5,5,3,4,5,2,2,1,4,4,2,3,6,Inadequate change management. New systems are introduced without proper communication about benefits and usage procedures.,"E-declaration system for specific commodity category succeeded because of limited scope initially, strong project governance with clear decision-makers, and effective change management communication.","Blockchain-based trade finance system was abandoned after 18 months because technology was too advanced for current infrastructure, vendors couldn't deliver promised features, and traders saw no benefit over existing systems.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.",Officer training in modern project management methods is critical. Many officers managing ICT projects have no formal PM training. Also need better procurement mechanisms that allow iterative development.
53,BCS (Customs & VAT) cadre officer,11-15 years,"Yes, as project manager / team leader",E-payment / e-declaration systems; Risk management / risk scoring system,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,3,3,3,3,2,2,2,4,3,1,1,2,5,4,4,5,5,3,4,4,5,5,4,5,5,5,5,4,5,4,5,4,2,3,2,5,2,3,3,6,"Lack of customs domain expertise in vendor project teams. Technical staff don't understand customs procedures, leading to mismatched solutions.","Electronic bond management system succeeded at Dhaka Customs House due to strong support from Commissioner, weekly progress reviews, and vendor team that understood customs procedures well.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
54,Other NBR/customs official,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",National single window / trade portal; Risk management / risk scoring system; E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,4,3,3,4,5,3,2,5,2,3,1,3,3,4,5,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,2,4,3,3,2,6,"Lack of customs domain expertise in vendor project teams. Technical staff don't understand customs procedures, leading to mismatched solutions.","Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","AI-based anomaly detection system had high false positive rates, vendor abandoned project mid-way due to payment delays, and customs lacked technical capacity to maintain it. System is now non-functional.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.",Officer training in modern project management methods is critical. Many officers managing ICT projects have no formal PM training. Also need better procurement mechanisms that allow iterative development.
55,Trade professional (importer / exporter / customs broker),More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",National single window / trade portal; E-payment / e-declaration systems; Risk management / risk scoring system,"Small (less than 6 months, small project team)",Shared - mixed internal and external responsibility,No formal method was specified,3,3,1,2,3,3,2,1,2,2,2,3,2,4,4,3,2,3,3,3,3,4,4,5,4,4,5,5,4,5,5,4,4,2,2,2,5,4,3,4,5,Unrealistic expectations about system capabilities. Vendors promise features that don't work as expected in real-world scenarios.,"E-payment system pilot at Chittagong port was successful because of strong Additional Commissioner champion who ensured regular stakeholder meetings, phased rollout starting with single location, and continuous C&F agent feedback sessions throughout implementation.","Document management system never adopted by officers because interface was too complex, no adequate training provided, and system didn't match actual document workflow. System exists but nobody uses it.","Time-boxed sprints of 4-6 weeks with working deliverables, mandatory user acceptance testing before each release, continuous integration and testing practices, transparent progress dashboards accessible to all stakeholders.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
56,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as core project team member",National single window / trade portal; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),3,3,3,3,3,3,2,3,2,4,3,3,2,4,5,5,5,4,4,5,4,4,5,4,5,5,5,4,4,4,3,4,3,2,3,2,5,4,4,3,6,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
57,Trade professional (importer / exporter / customs broker),More than 15 years,"Yes, as core project team member",National single window / trade portal; AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems; Risk management / risk scoring system,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),3,2,3,3,3,3,4,4,2,3,2,3,3,5,5,5,5,4,5,4,5,4,5,3,5,5,4,5,4,4,5,5,4,3,2,2,5,3,5,3,7,Inadequate change management. New systems are introduced without proper communication about benefits and usage procedures.,"Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
58,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",National single window / trade portal; Risk management / risk scoring system,"Medium (6-18 months, multiple stakeholders)",Shared - mixed internal and external responsibility,Hybrid approach (combination of structured phases and agile iterations),3,3,3,3,3,2,3,1,2,2,3,2,3,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4,4,4,4,4,3,2,2,2,5,3,3,3,5,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","Automated classification system failed because AI model was trained on foreign data that didn't match Bangladesh tariff structure, poor accuracy led to disputes, and system was eventually abandoned.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
